BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,NUMBER OF SALES,MINIMUM SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,MAXIMUM SALE PRICE,YEAR
3,CROWN HEIGHTS,03 THREE FAMILY DWELLINGS,23,"512,499","1,568,707","1,500,000","3,100,000",2024
3,CYPRESS HILLS,01 ONE FAMILY DWELLINGS,22,"318,250","752,846","735,500","1,289,588",2024
3,CYPRESS HILLS,02 TWO FAMILY DWELLINGS,59,"290,000","851,840","855,000","1,298,000",2024
3,CYPRESS HILLS,03 THREE FAMILY DWELLINGS,7,"499,180","889,526","915,000","1,375,000",2024
3,DOWNTOWN-FULTON FERRY,03 THREE FAMILY DWELLINGS,1,"1,529,500","1,529,500","1,529,500","1,529,500",2024
3,DOWNTOWN-FULTON MALL,01 ONE FAMILY DWELLINGS,1,"5,640,000","5,640,000","5,640,000","5,640,000",2024
3,DOWNTOWN-FULTON MALL,02 TWO FAMILY DWELLINGS,1,"4,700,000","4,700,000","4,700,000","4,700,000",2024
3,DYKER HEIGHTS,01 ONE FAMILY DWELLINGS,69,"600,000","1,179,844","1,160,000","4,500,000",2024
3,DYKER HEIGHTS,02 TWO FAMILY DWELLINGS,53,"213,056","1,330,994","1,350,000","2,300,000",2024
3,DYKER HEIGHTS,03 THREE FAMILY DWELLINGS,19,"1,400,000","1,765,947","1,750,000","2,340,000",2024
3,EAST NEW YORK,01 ONE FAMILY DWELLINGS,85,"270,000","567,037","585,000","1,250,000",2024
3,EAST NEW YORK,02 TWO FAMILY DWELLINGS,171,"232,324","765,628","760,000","1,647,487",2024
3,EAST NEW YORK,03 THREE FAMILY DWELLINGS,55,"265,000","867,720","895,000","1,390,000",2024
3,FLATBUSH-CENTRAL,01 ONE FAMILY DWELLINGS,52,"490,000","1,552,756","1,306,407","3,250,000",2024
3,FLATBUSH-CENTRAL,02 TWO FAMILY DWELLINGS,50,"276,392","1,582,431","1,178,000","6,500,000",2024
3,FLATBUSH-CENTRAL,03 THREE FAMILY DWELLINGS,15,"600,000","921,345","960,000","1,250,000",2024
3,FLATBUSH-EAST,01 ONE FAMILY DWELLINGS,169,"234,000","694,183","700,000","1,350,000",2024
3,FLATBUSH-EAST,02 TWO FAMILY DWELLINGS,136,"280,000","852,159","825,000","1,600,000",2024
3,FLATBUSH-EAST,03 THREE FAMILY DWELLINGS,24,"240,000","850,037","772,505","1,525,000",2024
3,FLATBUSH-LEFFERTS GARDEN,01 ONE FAMILY DWELLINGS,29,"400,000","1,923,207","1,900,000","3,200,000",2024
3,FLATBUSH-LEFFERTS GARDEN,02 TWO FAMILY DWELLINGS,18,"324,800","1,635,239","1,622,500","2,600,000",2024
3,FLATBUSH-LEFFERTS GARDEN,03 THREE FAMILY DWELLINGS,6,"975,000","1,481,667","1,525,000","1,850,000",2024
3,FLATBUSH-NORTH,01 ONE FAMILY DWELLINGS,22,"340,000","866,843","815,000","1,999,900",2024
3,FLATBUSH-NORTH,02 TWO FAMILY DWELLINGS,59,"380,000","879,316","805,000","3,000,000",2024
3,FLATBUSH-NORTH,03 THREE FAMILY DWELLINGS,24,"200,000","967,346","910,000","2,025,000",2024
3,FLATLANDS,01 ONE FAMILY DWELLINGS,44,"240,000","634,807","681,250","850,000",2024
3,FLATLANDS,02 TWO FAMILY DWELLINGS,40,"318,000","832,249","825,000","1,618,027",2024
3,FLATLANDS,03 THREE FAMILY DWELLINGS,3,"970,000","1,178,333","1,185,000","1,380,000",2024
3,FORT GREENE,01 ONE FAMILY DWELLINGS,3,"2,340,000","3,530,000","3,650,000","4,600,000",2024
3,FORT GREENE,02 TWO FAMILY DWELLINGS,13,"1,520,000","3,744,002","3,847,000","5,350,000",2024
3,FORT GREENE,03 THREE FAMILY DWELLINGS,10,"1,320,000","2,981,333","2,687,500","7,500,000",2024
3,GERRITSEN BEACH,01 ONE FAMILY DWELLINGS,55,"270,000","605,449","605,000","975,000",2024
3,GERRITSEN BEACH,02 TWO FAMILY DWELLINGS,2,"860,000","872,500","872,500","885,000",2024
3,GERRITSEN BEACH,03 THREE FAMILY DWELLINGS,1,"670,000","670,000","670,000","670,000",2024
3,GOWANUS,01 ONE FAMILY DWELLINGS,12,"925,000","3,112,890","2,925,000","5,625,000",2024
3,GOWANUS,02 TWO FAMILY DWELLINGS,22,"760,000","2,448,227","2,125,000","4,650,000",2024
3,GOWANUS,03 THREE FAMILY DWELLINGS,7,"675,000","2,078,571","1,760,000","3,325,000",2024
3,GRAVESEND,01 ONE FAMILY DWELLINGS,47,"315,000","952,953","960,000","2,200,000",2024
3,GRAVESEND,02 TWO FAMILY DWELLINGS,95,"307,235","1,156,509","1,160,000","2,550,000",2024
3,GRAVESEND,03 THREE FAMILY DWELLINGS,32,"450,000","1,344,595","1,425,000","1,900,000",2024
3,GREENPOINT,01 ONE FAMILY DWELLINGS,8,"760,500","1,600,813","1,585,000","2,525,000",2024
3,GREENPOINT,02 TWO FAMILY DWELLINGS,33,"575,000","2,327,060","2,155,000","5,060,475",2024
3,GREENPOINT,03 THREE FAMILY DWELLINGS,29,"450,000","2,178,696","2,266,875","3,700,000",2024
3,KENSINGTON,01 ONE FAMILY DWELLINGS,7,"995,000","1,407,714","1,520,000","1,750,000",2024
3,KENSINGTON,02 TWO FAMILY DWELLINGS,8,"999,000","1,507,313","1,442,500","2,000,000",2024
3,KENSINGTON,03 THREE FAMILY DWELLINGS,6,"1,525,000","1,745,667","1,750,000","1,999,999",2024
3,MADISON,01 ONE FAMILY DWELLINGS,73,"345,000","1,239,047","1,150,000","3,500,000",2024
3,MADISON,02 TWO FAMILY DWELLINGS,36,"400,000","1,384,552","1,232,500","3,750,000",2024
3,MADISON,03 THREE FAMILY DWELLINGS,4,"999,000","1,369,750","1,490,000","1,500,000",2024
3,MANHATTAN BEACH,01 ONE FAMILY DWELLINGS,31,"830,000","1,957,516","1,750,000","8,000,000",2024
3,MANHATTAN BEACH,02 TWO FAMILY DWELLINGS,15,"670,239","1,878,616","1,450,000","6,000,000",2024
3,MARINE PARK,01 ONE FAMILY DWELLINGS,116,"230,000","792,514","785,000","1,425,000",2024
3,MARINE PARK,02 TWO FAMILY DWELLINGS,52,"499,999","860,822","857,500","1,355,000",2024
3,MARINE PARK,03 THREE FAMILY DWELLINGS,2,"910,000","949,000","949,000","988,000",2024
3,MIDWOOD,01 ONE FAMILY DWELLINGS,97,"393,333","1,404,194","1,325,000","4,031,963",2024
3,MIDWOOD,02 TWO FAMILY DWELLINGS,26,"775,000","1,408,308","1,090,000","4,800,000",2024
3,MIDWOOD,03 THREE FAMILY DWELLINGS,5,"786,000","1,630,200","1,675,000","2,390,000",2024
3,MILL BASIN,01 ONE FAMILY DWELLINGS,43,"605,000","1,092,101","940,000","3,500,000",2024
3,MILL BASIN,02 TWO FAMILY DWELLINGS,10,"780,000","1,079,200","987,500","1,620,000",2024
3,MILL BASIN,03 THREE FAMILY DWELLINGS,1,"300,000","300,000","300,000","300,000",2024
3,NAVY YARD,01 ONE FAMILY DWELLINGS,2,"975,000","1,806,250","1,806,250","2,637,500",2024
3,NAVY YARD,02 TWO FAMILY DWELLINGS,1,"1,160,500","1,160,500","1,160,500","1,160,500",2024
3,OCEAN HILL,01 ONE FAMILY DWELLINGS,2,"254,400","452,200","452,200","650,000",2024
3,OCEAN HILL,02 TWO FAMILY DWELLINGS,78,"550,000","1,169,451","1,123,000","3,775,000",2024
3,OCEAN HILL,03 THREE FAMILY DWELLINGS,46,"390,000","1,206,267","1,180,500","2,100,000",2024
3,OCEAN PARKWAY-NORTH,01 ONE FAMILY DWELLINGS,67,"260,000","2,196,767","1,650,000","9,500,000",2024
3,OCEAN PARKWAY-NORTH,02 TWO FAMILY DWELLINGS,59,"375,000","1,916,360","1,700,000","5,250,000",2024
3,OCEAN PARKWAY-NORTH,03 THREE FAMILY DWELLINGS,21,"411,600","2,085,076","1,850,000","4,215,000",2024
3,OCEAN PARKWAY-SOUTH,01 ONE FAMILY DWELLINGS,29,"415,000","3,121,662","2,000,000","9,186,750",2024
3,OCEAN PARKWAY-SOUTH,02 TWO FAMILY DWELLINGS,56,"388,000","1,878,397","1,260,000","9,350,000",2024
