BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,NUMBER OF SALES,MINIMUM SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,MAXIMUM SALE PRICE,YEAR
3,DYKER HEIGHTS,02 TWO FAMILY DWELLINGS,53,213056,1330994,1350000,2300000,2024
3,DYKER HEIGHTS,03 THREE FAMILY DWELLINGS,19,1400000,1765947,1750000,2340000,2024
3,EAST NEW YORK,01 ONE FAMILY DWELLINGS,85,270000,567037,585000,1250000,2024
3,EAST NEW YORK,02 TWO FAMILY DWELLINGS,171,232324,765628,760000,1647487,2024
3,EAST NEW YORK,03 THREE FAMILY DWELLINGS,55,265000,867720,895000,1390000,2024
3,FLATBUSH-CENTRAL,01 ONE FAMILY DWELLINGS,52,490000,1552756,1306407,3250000,2024
3,FLATBUSH-CENTRAL,02 TWO FAMILY DWELLINGS,50,276392,1582431,1178000,6500000,2024
3,FLATBUSH-CENTRAL,03 THREE FAMILY DWELLINGS,15,600000,921345,960000,1250000,2024
3,FLATBUSH-EAST,01 ONE FAMILY DWELLINGS,169,234000,694183,700000,1350000,2024
3,FLATBUSH-EAST,02 TWO FAMILY DWELLINGS,136,280000,852159,825000,1600000,2024
3,FLATBUSH-EAST,03 THREE FAMILY DWELLINGS,24,240000,850037,772505,1525000,2024
3,FLATBUSH-LEFFERTS GARDEN,01 ONE FAMILY DWELLINGS,29,400000,1923207,1900000,3200000,2024
3,FLATBUSH-LEFFERTS GARDEN,02 TWO FAMILY DWELLINGS,18,324800,1635239,1622500,2600000,2024
3,FLATBUSH-LEFFERTS GARDEN,03 THREE FAMILY DWELLINGS,6,975000,1481667,1525000,1850000,2024
3,FLATBUSH-NORTH,01 ONE FAMILY DWELLINGS,22,340000,866843,815000,1999900,2024
3,FLATBUSH-NORTH,02 TWO FAMILY DWELLINGS,59,380000,879316,805000,3000000,2024
3,FLATBUSH-NORTH,03 THREE FAMILY DWELLINGS,24,200000,967346,910000,2025000,2024
3,FLATLANDS,01 ONE FAMILY DWELLINGS,44,240000,634807,681250,850000,2024
3,FLATLANDS,02 TWO FAMILY DWELLINGS,40,318000,832249,825000,1618027,2024
3,FLATLANDS,03 THREE FAMILY DWELLINGS,3,970000,1178333,1185000,1380000,2024
3,FORT GREENE,01 ONE FAMILY DWELLINGS,3,2340000,3530000,3650000,4600000,2024
3,FORT GREENE,02 TWO FAMILY DWELLINGS,13,1520000,3744002,3847000,5350000,2024
3,FORT GREENE,03 THREE FAMILY DWELLINGS,10,1320000,2981333,2687500,7500000,2024
3,GERRITSEN BEACH,01 ONE FAMILY DWELLINGS,55,270000,605449,605000,975000,2024
3,GERRITSEN BEACH,02 TWO FAMILY DWELLINGS,2,860000,872500,872500,885000,2024
3,GERRITSEN BEACH,03 THREE FAMILY DWELLINGS,1,670000,670000,670000,670000,2024
